Country Name,Region,World Rank,Region Rank,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),2019 Score
Afghanistan,Asia-Pacific,152,39,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66,10,10,7,20,20,5,25.6,35.5,69.6,2.5,2.9,1958,8.8,5,53.9,7.3,51.5
Albania,Europe,52,27,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70,70,1.1,23,15,24.9,29.5,2.9,36,3.9,2.5,12507,13.9,2,1119.1,71.2,66.5
Algeria,Middle East and North Africa,171,14,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30,30,8.8,35,23,24.5,41.4,41.5,632.9,2,3.1,15237,10,5.6,1203,25.8,46.2
Angola,Sub-Saharan Africa,156,33,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30,40,9.4,17,30,20.6,25.3,28.2,190.3,0.7,2.9,6753,8.2,31.7,-2254.5,65.3,50.6
Argentina,Americas,148,26,47.8,44.5,33.5,69.3,49.5,33,56.4,46.9,60.2,70,55,60,7.5,35,30,30.8,41,44.1,920.2,2.9,0.7,20876,8.7,25.7,11857,52.6,52.2
Armenia,Europe,47,24,57.2,46.3,38.6,84.7,79,53,78.3,71.4,77.8,80.8,75,70,2.1,26,20,21.3,26.4,3,28.3,7.5,3.6,9456,18.2,0.9,245.7,53.5,67.7
Australia,Asia-Pacific,5,4,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80,90,1.2,45,30,28.2,36.5,24.8,1246.5,2.3,2.4,50334,5.6,2,46368,41.6,80.9
Austria,Europe,31,16,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86,90,70,2,50,25,42.7,50.2,8.8,439.6,2.9,1.3,49869,5.5,2.2,9629.6,78.8,72
Azerbaijan,Asia-Pacific,60,13,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63,74.6,60,60,5.2,25,20,15,36.7,9.8,171.8,0.1,1.2,17492,5,13,2867,54.7,65.4
Bahamas,Americas,76,15,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60,18.6,0,0,16.3,21,0.4,11.6,1.3,-0.7,31139,12.6,1.4,927.7,57.2,62.9
