DayOfWeek, HourOfDay, Branch_,City_,Customer type_,Gender_,Product line_,Unit price,Quantity,Tax 5%,Total,Payment_,cogs,gross margin percentage,gross income,Rating
6, 13, A, Bern, Member, Female, Health and beauty, 74.69, 7, 26.1415, 548.9715, Ewallet, 522.83, 4.761904762, 26.1415, 9.1
5, 10, C, Geneva, Normal, Female, Electronic accessories, 15.28, 5, 3.82, 80.22, Cash, 76.4, 4.761904762, 3.82, 9.6
7, 13, A, Bern, Normal, Male, Home and lifestyle, 46.33, 7, 16.2155, 340.5255, Credit card, 324.31, 4.761904762, 16.2155, 7.4
7, 20, A, Bern, Member, Male, Health and beauty, 58.22, 8, 23.288, 489.048, Ewallet, 465.76, 4.761904762, 23.288, 8.4
5, 10, A, Bern, Normal, Male, Sports and travel, 86.31, 7, 30.2085, 634.3785, Ewallet, 604.17, 4.761904762, 30.2085, 5.3
1, 18, C, Geneva, Normal, Male, Electronic accessories, 85.39, 7, 29.8865, 627.6165, Ewallet, 597.73, 4.761904762, 29.8865, 4.1
1, 14, A, Bern, Member, Female, Electronic accessories, 68.84, 6, 20.652, 433.692, Ewallet, 413.04, 4.761904762, 20.652, 5.8
7, 11, C, Geneva, Normal, Female, Home and lifestyle, 73.56, 10, 36.78, 772.38, Ewallet, 735.6, 4.761904762, 36.78, 8
4, 17, A, Bern, Member, Female, Health and beauty, 36.26, 2, 3.626, 76.146, Credit card, 72.52, 4.761904762, 3.626, 7.2
3, 13, B, Zurich, Member, Female, Food and beverages, 54.84, 3, 8.226, 172.746, Credit card, 164.52, 4.761904762, 8.226, 5.9
3, 18, B, Zurich, Member, Female, Fashion accessories, 14.48, 4, 2.896, 60.816, Ewallet, 57.92, 4.761904762, 2.896, 4.5
6, 17, B, Zurich, Member, Male, Electronic accessories, 25.51, 4, 5.102, 107.142, Cash, 102.04, 4.761904762, 5.102, 6.8
2, 10, A, Bern, Normal, Female, Electronic accessories, 46.95, 5, 11.7375, 246.4875, Ewallet, 234.75, 4.761904762, 11.7375, 7.1
4, 16, A, Bern, Normal, Male, Food and beverages, 43.19, 10, 21.595, 453.495, Ewallet, 431.9, 4.761904762, 21.595, 8.2
5, 19, A, Bern, Normal, Female, Health and beauty, 71.38, 10, 35.69, 749.49, Cash, 713.8, 4.761904762, 35.69, 5.7
2, 16, B, Zurich, Member, Female, Sports and travel, 93.72, 6, 28.116, 590.436, Cash, 562.32, 4.761904762, 28.116, 4.5
1, 11, A, Bern, Member, Female, Health and beauty, 68.93, 7, 24.1255, 506.6355, Credit card, 482.51, 4.761904762, 24.1255, 4.6
2, 10, A, Bern, Normal, Male, Sports and travel, 72.61, 6, 21.783, 457.443, Credit card, 435.66, 4.761904762, 21.783, 6.9
1, 18, A, Bern, Normal, Male, Food and beverages, 54.67, 3, 8.2005, 172.2105, Credit card, 164.01, 4.761904762, 8.2005, 8.6
1, 15, B, Zurich, Normal, Female, Home and lifestyle, 40.3, 2, 4.03, 84.63, Ewallet, 80.6, 4.761904762, 4.03, 4.4
1, 11, C, Geneva, Member, Male, Electronic accessories, 86.04, 5, 21.51, 451.71, Ewallet, 430.2, 4.761904762, 21.51, 4.8
2, 10, B, Zurich, Normal, Male, Health and beauty, 87.98, 3, 13.197, 277.137, Ewallet, 263.94, 4.761904762, 13.197, 5.1
